ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,speed,upTime,upTimeSuccessCount,upTimeTryCount,updated_at,responseTime
"51.89.21.99","elite","AS16276","GB","OVH SAS","13","OVH GmbH","37982","socks4","1","98","1916","1957","2025-01-04T08:26:59.369Z","1364"
"103.105.103.17","elite","AS150008","IN","Hitech Broadband","180","N/A","3629","socks4","1","100","2029","2035","2025-01-04T08:26:31.456Z","4809"
"138.255.240.66","elite","AS263981","BR","David De Salles Brasil Junior - ME","202","David De Salles Brasil Junior - ME","40736","socks4","1","96","1956","2029","2025-01-04T08:26:31.361Z","874"
"103.220.205.162","elite","AS59362","BD","KS Network","284","Nazmul Karim Bhuiyan","4673","socks4","1","98","559","572","2025-01-04T08:26:31.371Z","840"
"134.236.30.92","elite","AS131090","TH","CAT-BB","215","N/A","5678","socks4","1","58","5052","8753","2025-01-04T08:26:31.368Z","4406"
"103.76.190.210","elite","AS135758","IN","Alacriy Net System Service Private Limited","181","Alacriy Net System Service Private Limited","58275","socks5","1","99","8660","8763","2025-01-04T08:26:31.656Z","2192"
"202.124.43.253","elite","AS9902","KH","NeocomISP Limited","300","NeocomISP Limited","4145","socks4","1","99","8531","8648","2025-01-04T08:26:31.657Z","4093"
"178.212.199.95","elite","AS39065","UA","Southern Telecommunication Company Ltd.","97","SOHONET","1099","socks4","1","94","8193","8724","2025-01-04T08:26:31.367Z","2994"
"38.127.172.23","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks4","1","100","8646","8659","2025-01-04T08:26:31.655Z","1204"
"112.78.138.163","elite","AS17451","ID","Biznet Networks","288","Gilang Agung Persada","5678","socks4","1","99","1921","1943","2025-01-04T08:26:31.363Z","4481"
"172.67.3.98","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1","100","8736","8738","2025-01-04T08:26:31.371Z","394"
"103.70.206.193","elite","AS135712","IN","Euron Communications Pvt. Ltd","177","Euron Communications Pvt. Ltd.","59311","socks4","1","17","1455","8661","2025-01-04T08:26:31.659Z","1081"
"122.252.179.66","elite","AS38286","KH","Phnom Penh Cable TV","388","Phnom Penh Cable TV","5678","socks4","2","99","2048","2069","2025-01-04T08:26:31.370Z","975"
"103.251.83.61","elite","AS45804","IN","M.B. Corporation","186","M.B. Corporation","8080","socks5","1","94","8172","8653","2025-01-04T08:26:31.655Z","3604"
"202.159.6.146","elite","AS9340","ID","PT IndoInternet","198","N/A","555","socks4","1","99","1146","1153","2025-01-04T08:26:31.654Z","3809"
